チャンネル名	クラス		テキスト
kaden-channel	1		ソニーだいじょうぶ？　PS Vitaの質問ページがちょっと変で話題になり、ソニーは慌てて修正
kaden-channel	1		お風呂場がベター!?　iPhoneの保護シールがうまく貼れない人にヒント
it-life-hack	0		24時間しょこたん三昧　本日0時より「中川翔子が売ってみた！独り24時間テレビ」ニコニコ生放送開始
kaden-channel	1		『癒し』と『安眠サポート』—部屋中をほんのり桜色に照らすＬＥＤ照明シャープＤＬ−Ｃ６０４Ｖ
it-life-hack	0		あの名作に隠された秘密！スラムダンクの秘密　完全版
kaden-channel	1		タムロンのEマウントレンズを純正レンズと比べてみた
kaden-channel	1		普通の小学生に戻ってほしい？　人気子役の愛菜ちゃんが消えてほしい芸能人１位に
it-life-hack	0		先週気になったニュースや話題を振り返る「ITフラッシュバック」
it-life-hack	0		iPhone用オモシロアプリからお役立ちアプリまで一挙紹介
it-life-hack	0		駆け込み購入で「しまった」を挽回できる！古い液晶テレビを最新にする作戦
kaden-channel	1		安全でスタイリッシュ！タイガー電気ケトル「PCD-A型」で賢く節電
kaden-channel	1		以前の方が面白かった？　学生が選ぶ「復活してほしいバラエティ」に納得の声
kaden-channel	1		どっちが問題？　韓国ロケで激怒する中国人女優と、それをバッシングする韓国人
it-life-hack	0		次世代セキュリティソフト「ノートン360 v6」を徹底検証！ITライフハック編集長が使ってみた
it-life-hack	0		Macの次期OS「Mountain Lion」の真の狙いとは？ 
kaden-channel	1		第8回上映 中野 森 監督作品　　　　　 『今日は秋刀魚の日』
it-life-hack	0		七夕の願いは済んだ？　短冊に書かれたユニークな願いが話題に
it-life-hack	0		自然とはなんと偉大なんだろう！孫社長″言葉不要の美しさ″
it-life-hack	0		おはこんこん！紺子ぬいぐるみ、7月頃に出来上がるよ
kaden-channel	1		サムスンWindows8 タブレットが人間の脳波でスケボーを操作する!?　テキサスでおもしろ実験に挑む
it-life-hack	0		Safariのリーダー機能をFirefoxで アドオン「Evernote Clearly」
it-life-hack	0		WordやExcelでよく使うコマンドをワンクリックで実行する
it-life-hack	0		大切な投稿を見逃さない！友達管理が簡単に！個性派Facebookにするテクニックまとめ
it-life-hack	0		あなたのiPhoneサクサク動く？　もしダメなら「サクサク for iPhone 改」
kaden-channel	1		今度こそ？　バッテリー問題を修正した「iOS 5.0.2」をアップルがリリースか
kaden-channel	1		お年賀には映画をプレゼント？　日本初！「映画付年賀状」は365円
it-life-hack	0		未来の名プログラマーを育め！中高生150名がアプリ開発にチャレンジ
kaden-channel	1		かわいい頑張り屋さんロボ「じゅくすい君」は睡眠時無呼吸症候群の患者を顔をたたいてサポート
kaden-channel	1		ゆっくりなのがたまにキズ？　「USBあったかオニギリ ウォーマー（USBHTOW1）」に注目
kaden-channel	1		PCカメラとしての使用も可能な小型トイデジカメ「GH-TCAM30P」登場
kaden-channel	1		ドコモも登場で競争がより過熱！？　来年夏にドコモがiPhone参入か
kaden-channel	1		春だ！モテたい!!　日立マクセル「Ａｎｇｅｌｉｑｕｅ（アンジェリーク）」は第一印象をナントカしてくれるモバイルアイテム
kaden-channel	1		家電の不調時に役立つ！　工場出荷時状態へのリセット方法がわかる便利サイト「Factory Reset」
kaden-channel	1		パンクを過去のものにする、空気なしタイヤ
it-life-hack	0		GeForce GTX 660 Ti搭載PC登場！　ドスパラより新型GPU搭載モデル発売開始
kaden-channel	1		毒舌ブームはまだまだ続くか？　テレビに一番多く出た有吉の2012年はどうなる？
kaden-channel	1		自分で作れる！　太陽撮影キットを使って、金星の日面通過を観測
it-life-hack	0		Excel表をらくらく修正！ドラッグで列の順序を入れ替える
it-life-hack	0		いつでもどこでもUltrabook生活！HP「Folio13-1000」のレビューア3名を募集
it-life-hack	0		PCの次世代利用モデルを創出へ インテルつくばに新センター開設
it-life-hack	0		ThinkPad X1風アイソレーションタイプへ！ ThinkPad新シリーズのキーボード一大変更
it-life-hack	0		最新スマホに最強兵器が登場！ソフトバンク AQUOS PHONE 104SH対応大容量バッテリー
it-life-hack	0		ファイル整理に役立つ！　カメラの情報表示
kaden-channel	1		真夏の夜のお勧め恐怖監督「ダリオ・アルジェント」
kaden-channel	1		重さで容量がわかる！　コンクリートでできたUSBがおもしろい！！
it-life-hack	0		FBのカバー部の見栄えをカッコ良く！「Facebook Cover Designer」
it-life-hack	0		最新モバイルルーターに強い味方！ドコモ BF-01D用大型大容量バッテリー
kaden-channel	1		連載●極・ト書き一行のカット割り! 第9回
kaden-channel	1		iPhoneに国産アンドロイドがついに逆襲！　ドコモの「AQUOS PHONE SH-01D」が販売ランキング１位に
kaden-channel	1		棒料理が得意？　テレビ出演多数の二股被害者が作る料理が不思議だと話題
it-life-hack	0		LAWSON Wi-Fiが大炎上！　WiFiサービスを使うと友達を無くす規約にTwitterが騒然
it-life-hack	0		写真の撮り方がうますぎる！孫社長 桜を詠んだ句と写真が話題
it-life-hack	0		ソニーのモノ造りの健在を体感できる！技術をぎゅーっと凝縮したソニーのDSC-WX100
it-life-hack	0		その真相や如何に！ミクシィ、身売り報道にコメント
it-life-hack	0		地デジ＆BS/CSデジタル対応ハイビジョンレコーダーのレビューアー10名を募集
kaden-channel	1		ポイズンが足りない！　新ＧＴＯは反町版ＧＴＯと何が違うのか
it-life-hack	0		2200mAhでわずか65g！GALAXYを最強にするバッテリー内蔵ケース
kaden-channel	1		次はアップルは何をする？　今月末の発表会でのテーマは「メディア関係」−　セルフパブリッシングについてとの噂も
it-life-hack	0		Windowsトラブル時にデータを救出！Ubuntuの便利な機能アレコレ 
it-life-hack	0		Googleドライブで企画や計算書をメンバーと共有
it-life-hack	0		スマホで使える驚愕の次世代眼鏡！身に付けられるディスプレイ
kaden-channel	1		次世代Xbox 720は年明けすぐに発表か？　この冬買いたいゲーム機をおさらいしよう
kaden-channel	1		カシオ「EX-FC200S」でスロー映像で自分のゴルフスイングを分析
it-life-hack	0		カワイイは正義！　おかもとまりさんのカワイすぎる顔真似メイキングが反則過ぎる
kaden-channel	1		NTTドコモがイギリスのボーダフォンと事業提携へ
it-life-hack	0		ケーブルいらずのスマホバッテリ！情報満載の1日を振り返る
kaden-channel	1		亀梨和也も「気持ちい〜！」　パナソニックからメンズ用の頭皮ケアアイテムが登場！　
it-life-hack	0		ふぉっくす紺子だよ！アキバとPC業界を応援します
it-life-hack	0		アップル、デベロッパプレビューをリリース！次期Mac OS X「Mountain Lion」が明らかに
kaden-channel	1		ソニー・エリクソンがXperia rayで女性市場をターゲットにした理由　
kaden-channel	1		女子から圧倒的な人気！　オシャレでスキャンダルな「ゴシップガール」シーズン１〜３がHuluで一挙公開に
kaden-channel	1		「リア充」演出してる？　フェイスブックでのキャラの違いに違和感
it-life-hack	0		原因判明！ アップデート中のWindows XPで青画面が続出した「ブルースクリーン祭り」
kaden-channel	1		Android初心者必見！「女の子のためのアンドロイド講座」がニコ動で公開
it-life-hack	0		PCを使いこなす小技が満載！　裏技やOffice系アプリ使いこなしまでを振り返る
it-life-hack	0		117万2132件の動画中最高の1本！ニコニコ動画「第4回動画アワード」グランプリ作品決定
kaden-channel	1		スマホでゲリラ豪雨に備える
it-life-hack	0		仲間内だけでヒミツの会話　Facebookのグループ機能
kaden-channel	1		レゲエの神様ボブ・マーリーの精神を引き継いだライフスタイル・オーディオ待望の日本デビュー
kaden-channel	1		何をしたらいいのかわからない！　スマホのセキュリティ対策をしない理由
kaden-channel	1		独自開発のローラータイプで３つのケア！　自宅でイオンケアができるオリジナル美顔器「イオンマイエステＩＩ」
kaden-channel	1		カシオ、女性向け愛らしいデザインのコンパクトデジカメを発売
kaden-channel	1		驚異の重低音ポータブルプレーヤーCreative Zen X-F13
it-life-hack	0		なにかが起こるっ！4コマ、もうすぐ100回になるんだよ
kaden-channel	1		原因は韓国の勢い　−　ソニーが家庭向け有機ELテレビの販売・製造から撤退 
kaden-channel	1		ガガ様がNHKを救うか？「第62回NHK紅白歌合戦」に出演決定
it-life-hack	0		電源不要でボリュームアップ！？ エコなのに音量増幅できるiPhone用スタンド
kaden-channel	1		ソーシャル活用でコネを作るのは当たり前？　堂々と縁故採用宣言の岩波書店に「おかしくない」の声
